Year	Month	preci	Tmin	Tmax	Tavg	PET
2001	6	32	23.23	37.27	30.25	216.112823
2001	7	56.91	20.58	34.47	27.525	175.7806987
2001	8	3.8	21.29	35.95	28.62	183.9269981
2001	9	5.1	19.63	33.89	26.76	140.8176928
2001	10	0	16.48	32.38	24.43	107.9920006
2001	11	0	12.47	24.17	18.32	48.4378986
2001	12	0	7	21.54	14.27	26.3448098
2002	1	0	3.74	18.64	11.19	14.8955321
2002	2	1	4	18.77	11.385	14.9513712
2002	3	5	8.03	21.81	14.92	34.213745
2002	4	5	18.17	32.16	25.165	126.5748059
2002	5	1	24.52	38.63	31.575	240.2422298
2002	6	5	24.13	39.2	31.665	241.3648685
2002	7	0	24.26	38.6	31.43	242.2419706
2002	8	0	23.16	36.45	29.805	202.87907
2002	9	6.61	19.57	33.37	26.47	137.1570432
2002	10	2	15.23	30.84	23.035	93.683909
2002	11	1	10.03	23.74	16.885	39.7698152
2002	12	0	1.94	15.97	8.955	8.5414655
2003	1	0.84	1	16	8.5	7.6630628
2003	2	4	5.86	19.1	12.48	18.667538
2003	3	5	12.71	24.02	18.365	56.5321242
2003	4	0.06	18.33	31.11	24.72	121.2318773
2003	5	5	20.58	34.52	27.55	172.7794488
2003	6	14	25	38.62	31.81	244.045287
2003	7	99.94	24.23	34.72	29.475	207.4098034
2003	8	22	22.42	33.74	28.08	175.6500322
2003	9	10	20.73	33.68	27.205	146.5451639
2003	10	0	15.35	30.75	23.05	93.8314459
2003	11	0	8.77	23.03	15.9	34.3915928
2003	12	0	4.97	20.06	12.515	19.1833789
2004	1	3	4.61	17.17	10.89	13.9484659
2004	2	0	6.9	21.23	14.065	24.9233354
2004	3	0	14.06	29.16	21.61	83.774454
2004	4	0	19.4	33.11	26.255	140.236874
2004	5	13	22.29	36.53	29.41	202.3389082
2004	6	46	22.07	48.03	35.05	308.5304201
2004	7	28	23.03	37.54	30.285	221.4573519
2004	8	57	22.35	34.68	28.515	182.3000741
2004	9	3	19.4	34.72	27.06	144.6641992
2004	10	13	12.9	27.29	20.095	67.346976
2004	11	0	9.63	25.77	17.7	44.5698532
2004	12	11	4.97	21.08	13.025	21.1279745
2005	1	5	1.65	13.92	7.785	6.1966525
2005	2	82	3.5	14.75	9.125	8.757442
2005	3	107	9.13	22.93	16.03	40.6944622
2005	4	7	13.8	29.36	21.58	87.2977008
2005	5	38	17.94	32.34	25.14	138.4805444
2005	6	20	23.9	37.73	30.815	225.9997435
2005	7	173	21.1	35.74	28.42	189.9170305
2005	8	69	20.32	35.04	27.68	169.6625306
2005	9	3	18.77	34.15	26.46	137.0318214
2005	10	0	13.32	30.86	22.09	84.66192
2005	11	0	7.93	24.48	16.205	36.0080586
2005	12	0	2.61	20.07	11.34	15.1154565
2006	1	0	1.61	16.97	9.29	9.4995435
2006	2	4	7.29	24.01	15.65	32.2632341
2006	3	28	8.48	24.08	16.28	42.245626
2006	4	17	11.4	31.45	21.425	85.7897013
2006	5	151	16.29	37.6	26.945	163.7498732
2006	6	50.1	18	35.52	26.76	160.6884961
2006	7	191	19	36.79	27.895	181.5470731
2006	8	93.4	15	33.03	24.015	120.3588118
2006	9	110	10	33.03	21.515	83.1055246
2006	10	44	8	27	17.5	48.2124059
2006	11	30	5	19	12	17.4188221
2006	12	50	3.1	16.81	9.955	11.0323946
2007	1	0	2.87	16.73	9.8	10.8095931
2007	2	59.7	4.86	17.85	11.355	14.8563129
2007	3	36	7.52	23.3	15.41	36.9934367
2007	4	11	11.8	33.07	22.435	95.8945674
2007	5	3.5	13.84	36.19	25.015	136.8219747
2007	6	52	17.3	36.25	26.775	160.9063145
